"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Previous ID(s)","Chromosome","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Transcript Length"
"PCHAS_0716300","PCHAS_0716300.1","P. chabaudi chabaudi","PCHAS_07_v3:609,690..610,988(+)","lipoate-protein ligase B, putative","Previous IDs: PC000046.03.0;PC000088.03.0;PC000522.00.0;PC000689.03.0;PC300108.00.0;PC300144.00.0;PC300197.00.0;PC300456.00.0;PC300457.00.0;PC301796.00.0;PCHAS_071630","07","44","OG5_127515","0","1","1","1","null","null","1299"
"PCHAS_0716400","PCHAS_0716400.1","P. chabaudi chabaudi","PCHAS_07_v3:612,114..613,574(+)","inner membrane complex protein 1i, putative","Previous IDs: PC000188.03.0;PC000691.03.0;PC001387.02.0;PCHAS_071640","07","44","OG5_153536","0","1","1","1","null","null","1461"
"PCHAS_0716500","PCHAS_0716500.1","P. chabaudi chabaudi","PCHAS_07_v3:614,016..615,985(-)","alpha/beta hydrolase, putative","Previous IDs: PC000204.00.0;PC000611.01.0;PC000807.00.0;PC001386.02.0;PC106642.00.0;PC300238.00.0;PC302543.00.0;PC402756.00.0;PCHAS_071650","07","44","OG5_130566","0","5","5","1","null","null","1509"
"PCHAS_0716600","PCHAS_0716600.1","P. chabaudi chabaudi","PCHAS_07_v3:616,712..620,713(-)","histone acetyltransferase GCN5, putative","Previous IDs: PC000316.01.0;PC000571.03.0;PC000600.03.0;PC300860.00.0;PCHAS_071660","07","44","OG5_127781","0","4","4","1","null","null","3645"
"PCHAS_0716700","PCHAS_0716700.1","P. chabaudi chabaudi","PCHAS_07_v3:624,081..625,173(+)","RNA-binding protein, putative","Previous IDs: PC000004.04.0;PC000572.03.0;PCHAS_071670","07","44","OG5_146727","0","3","3","1","null","null","867"
"PCHAS_0716800","PCHAS_0716800.1","P. chabaudi chabaudi","PCHAS_07_v3:627,348..628,675(+)","RWD domain-containing protein, putative","Previous IDs: PC000124.00.0;PC000125.00.0;PC000476.01.0;PC100236.00.0;PC403498.00.0;PCHAS_071680","07","44","OG5_128487","0","5","5","1","null","null","684"
"PCHAS_0716900","PCHAS_0716900.1","P. chabaudi chabaudi","PCHAS_07_v3:629,421..633,665(+)","serine/threonine protein kinase VPS15, putative","Previous IDs: PC000123.00.0;PC000128.04.0;PC000647.01.0;PC000698.00.0;PC105830.00.0;PC301828.00.0;PCHAS_071690","07","44","OG5_167105","0","4","4","1","null","null","3714"
"PCHAS_0717000","PCHAS_0717000.1","P. chabaudi chabaudi","PCHAS_07_v3:635,409..639,779(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000824.04.0;PC106032.00.0;PC404606.00.0;PCHAS_071700","07","46","OG5_160678","0","1","1","1","null","null","4371"
"PCHAS_0717100","PCHAS_0717100.1","P. chabaudi chabaudi","PCHAS_07_v3:640,295..641,266(-)","U5 small nuclear ribonucleoprotein 40 kDa protein, putative","Previous IDs: PC000410.00.0;PC000823.04.0;PC107588.00.0;PCHAS_071710","07","44","OG5_129196","0","1","1","1","null","null","972"
"PCHAS_0717200","PCHAS_0717200.1","P. chabaudi chabaudi","PCHAS_07_v3:643,045..645,660(+)","thrombospondin-related protein 1, putative","Previous IDs: PC000411.00.0;PC001404.02.0;PC301546.00.0;PCHAS_071720","07","44","OG5_156804","0","1","1","1","null","null","2616"
"PCHAS_0717300","PCHAS_0717300.1","P. chabaudi chabaudi","PCHAS_07_v3:645,966..648,473(-)","protein transport protein SEC23, putative","Previous IDs: PC000039.03.0;PC000062.05.0;PC000534.04.0;PC300252.00.0;PCHAS_071730","07","44","OG5_127203","0","2","2","1","null","null","2280"
"PCHAS_0717400","PCHAS_0717400.1","P. chabaudi chabaudi","PCHAS_07_v3:650,877..651,943(+)","dynein light chain 1, putative","Previous IDs: PC000121.05.0;PC300088.00.0;PC301472.00.0;PCHAS_071740","07","43","OG5_129790","0","6","6","1","null","null","594"
"PCHAS_0717500","PCHAS_0717500.1","P. chabaudi chabaudi","PCHAS_07_v3:652,016..654,231(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000074.03.0;PC000103.03.0;PC000162.00.0;PC000215.02.0;PC000247.02.0;PC000252.02.0;PC108730.00.0;PC301254.00.0;PC301916.00.0;PCHAS_071750","07","45","OG5_166121","0","7","7","1","null","null","1476"
"PCHAS_0717600","PCHAS_0717600.1","P. chabaudi chabaudi","PCHAS_07_v3:655,785..656,214(+)","small nuclear ribonucleoprotein G, putative","Previous IDs: PC000251.02.0;PC001427.02.0;PC100773.00.0;PC300509.00.0;PC301092.00.0;PCHAS_071760","07","44","OG5_128490","0","2","2","1","null","null","252"
"PCHAS_0717700","PCHAS_0717700.1","P. chabaudi chabaudi","PCHAS_07_v3:656,581..660,694(-)","phosphorylated CTD interacting factor 1 WW domain-containing protein, putative","Previous IDs: PC000117.04.0;PC001426.02.0;PCHAS_071770","07","45","OG5_155432","0","3","3","1","null","null","3843"
"PCHAS_0717750","PCHAS_0717750.1","P. chabaudi chabaudi","PCHAS_07_v3:661,304..662,479(+)","quinone oxidoreductase, putative","Previous IDs: PC103808.00.0;PCAS_071775;PCHAS_071775","07","10","OG5_129009","0","1","1","1","null","null","1176"
"PCHAS_0717800","PCHAS_0717800.1","P. chabaudi chabaudi","PCHAS_07_v3:662,911..663,702(+)","mediator of RNA polymerase II transcription subunit 7, putative","Previous IDs: PC000342.02.0;PC000626.01.0;PC302135.00.0;PCHAS_071780","07","44","OG5_146249","0","1","1","1","null","null","792"
"PCHAS_0717900","PCHAS_0717900.1","P. chabaudi chabaudi","PCHAS_07_v3:664,120..666,031(-)","ribosomal protein L4, mitochondrial, putative","Previous IDs: PC000341.02.0;PC000961.01.0;PC301881.00.0;PC405504.00.0;PCHAS_071790","07","44","OG5_127316","0","2","2","1","null","null","1800"
"PCHAS_0718000","PCHAS_0718000.1","P. chabaudi chabaudi","PCHAS_07_v3:666,639..667,367(+)","conserved protein, unknown function","Previous IDs: PC000343.02.0;PC000962.01.0;PC300206.00.0;PC300780.00.0;PC301014.00.0;PC301097.00.0;PCHAS_071800","07","44","OG5_145117","0","4","4","1","null","null","324"
"PCHAS_0718100","PCHAS_0718100.1","P. chabaudi chabaudi","PCHAS_07_v3:667,900..668,397(-)","protein transport protein SEC61 subunit beta, putative","Previous IDs: PC000157.01.0;PCHAS_071810","07","44","OG5_128659","0","3","3","1","null","null","243"
"PCHAS_0718200","PCHAS_0718200.1","P. chabaudi chabaudi","PCHAS_07_v3:669,885..670,565(-)","60S ribosomal protein L22, putative","Previous IDs: PC000156.01.0;PC001217.02.0;PCHAS_071820","07","44","OG5_127156","0","3","3","1","null","null","417"
"PCHAS_0718300","PCHAS_0718300.1","P. chabaudi chabaudi","PCHAS_07_v3:672,080..673,852(-)","polyribonucleotide 5'-hydroxyl-kinase Clp1, putative","Previous IDs: PC000337.04.0;PC300013.00.0;PCHAS_071830","07","44","OG5_127602","0","1","1","1","null","null","1773"
"PCHAS_0718400","PCHAS_0718400.1","P. chabaudi chabaudi","PCHAS_07_v3:674,864..675,559(+)","ribosomal RNA small subunit methyltransferase NEP1, putative","Previous IDs: PC000338.04.0;PCHAS_071840","07","43","OG5_127748","0","1","1","1","null","null","696"
"PCHAS_0718500","PCHAS_0718500.1","P. chabaudi chabaudi","PCHAS_07_v3:676,674..677,446(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000244.04.0;PC000464.01.0;PC105279.00.0;PCHAS_071850","07","42","OG5_184633","0","2","2","1","null","null","330"
"PCHAS_0718600","PCHAS_0718600.1","P. chabaudi chabaudi","PCHAS_07_v3:680,656..683,328(+)","ATP-dependent RNA helicase DHX36, putative","Previous IDs: PC000886.01.0;PC405790.00.0;PCHAS_071860","07","45","OG5_159706","0","3","3","1","null","null","2400"
"PCHAS_0718700","PCHAS_0718700.1","P. chabaudi chabaudi","PCHAS_07_v3:683,567..684,187(-)","conserved protein, unknown function","Previous IDs: PC000694.00.0;PC000887.01.0;PC401014.00.0;PCHAS_071870","07","44","OG5_138805","0","1","1","1","null","null","621"
"PCHAS_0718800","PCHAS_0718800.1","P. chabaudi chabaudi","PCHAS_07_v3:685,904..688,439(-)","protein kinase 1, putative","Previous IDs: PC000243.03.0;PC000244.00.0;PC000299.04.0;PC000677.01.0;PC000786.00.0;PC300488.00.0;PC300695.00.0;PC300828.00.0;PC301830.00.0;PC401143.00.0;PCHAS_071880","07","44","OG5_167106","0","2","2","1","null","null","2409"
"PCHAS_0718900","PCHAS_0718900.1","P. chabaudi chabaudi","PCHAS_07_v3:691,338..693,346(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000099.02.0;PC001086.02.0;PC302591.00.0;PCHAS_071890","07","43","OG5_136259","0","5","5","1","null","null","1536"
"PCHAS_0719000","PCHAS_0719000.1","P. chabaudi chabaudi","PCHAS_07_v3:696,197..700,056(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000242.04.0;PC001085.02.0;PC001156.02.0;PC300983.00.0;PC301240.00.0;PC302170.00.0;PC302409.00.0;PCHAS_071900","07","47","OG5_165516","0","3","3","1","null","null","3675"
"PCHAS_0719100","PCHAS_0719100.1","P. chabaudi chabaudi","PCHAS_07_v3:700,451..702,574(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000338.01.0;PC000773.03.0;PC001084.02.0;PC104926.00.0;PC300892.00.0;PC300982.00.0;PCHAS_071910","07","47","OG5_164974","0","1","1","1","null","null","2124"
"PCHAS_0719200","PCHAS_0719200.1","P. chabaudi chabaudi","PCHAS_07_v3:703,143..706,405(-)","2-oxoglutarate dehydrogenase E1 component, putative","Previous IDs: PC000298.01.0;PC000407.00.0;PC000596.04.0;PC000632.04.0;PC302129.00.0;PCHAS_071920","07","46","OG5_126779","0","2","2","1","null","null","3117"
"PCHAS_0719300","PCHAS_0719300.1","P. chabaudi chabaudi","PCHAS_07_v3:707,634..709,216(-)","conserved protein, unknown function","Previous IDs: PC000017.05.0;PC000181.03.0;PC000633.04.0;PC100745.00.0;PCHAS_071930","07","44","OG5_154321","0","3","3","1","null","null","1365"
"PCHAS_0719400","PCHAS_0719400.1","P. chabaudi chabaudi","PCHAS_07_v3:710,141..712,363(-)","protein transport protein YIF1, putative","Previous IDs: PC000298.00.0;PC000635.04.0;PC301463.00.0;PC301770.00.0;PC401894.00.0;PCHAS_071940","07","44","OG5_165289","0","1","1","1","null","null","2223"
"PCHAS_0719500","PCHAS_0719500.1","P. chabaudi chabaudi","PCHAS_07_v3:713,662..715,211(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000299.00.0;PC000634.04.0;PC300859.00.0;PCHAS_071950","07","44","OG5_167107","0","2","2","1","null","null","1437"
"PCHAS_0719600","PCHAS_0719600.1","P. chabaudi chabaudi","PCHAS_07_v3:716,957..718,741(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000040.03.0;PC000137.03.0;PC105721.00.0;PC301636.00.0;PCHAS_071960","07","31","OG5_172395","0","1","1","1","null","null","1785"
"PCHAS_0719700","PCHAS_0719700.1","P. chabaudi chabaudi","PCHAS_07_v3:721,674..723,542(+)","phosphatidylglycerophosphate synthase, putative","Previous IDs: PC000293.01.0;PC000663.02.0;PC300942.00.0;PC301027.00.0;PCHAS_071970","07","44","OG5_128543","0","1","1","1","null","null","1869"
"PCHAS_0719800","PCHAS_0719800.1","P. chabaudi chabaudi","PCHAS_07_v3:724,632..726,196(+)","RNA-binding protein, putative","Previous IDs: PC000186.03.0;PC000753.00.0;PC302249.00.0;PCHAS_071980","07","43","OG5_167108","0","4","4","1","null","null","1068"
"PCHAS_0719900","PCHAS_0719900.1","P. chabaudi chabaudi","PCHAS_07_v3:727,495..733,236(+)","Snf2-related CBP activator, putative","Previous IDs: PC000118.02.0;PC000147.01.0;PC000406.00.0;PC000754.00.0;PC300339.00.0;PC301454.00.0;PC400802.00.0;PCHAS_071990","07","46","OG5_127568","0","5","5","1","null","null","5292"
"PCHAS_0720000","PCHAS_0720000.1","P. chabaudi chabaudi","PCHAS_07_v3:734,181..734,943(+)","U6 snRNA-associated Sm-like protein LSm3, putative","Previous IDs: PCHAS_072000","07","43","OG5_128346","0","4","4","1","null","null","276"
"PCHAS_0720100","PCHAS_0720100.1","P. chabaudi chabaudi","PCHAS_07_v3:735,472..741,233(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000012.00.0;PC000237.00.0;PC000278.02.0;PC404603.00.0;PCHAS_072010","07","45","OG5_161405","0","17","17","1","null","null","4038"
"PCHAS_0720200","PCHAS_0720200.1","P. chabaudi chabaudi","PCHAS_07_v3:742,170..743,777(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000925.01.0;PCHAS_072020","07","44","OG5_165380","0","1","1","1","null","null","1608"
"PCHAS_0720300","PCHAS_0720300.1","P. chabaudi chabaudi","PCHAS_07_v3:745,711..746,856(+)","conserved protein, unknown function","Previous IDs: PC000498.02.0;PC103202.00.0;PC301847.00.0;PCHAS_072030","07","44","OG5_144948","0","2","2","1","null","null","1038"
"PCHAS_0720400","PCHAS_0720400.1","P. chabaudi chabaudi","PCHAS_07_v3:747,558..750,041(-)","conserved protein, unknown function","Previous IDs: PC000335.05.0;PC000382.01.0;PC000499.02.0;PC000615.00.0;PC101034.00.0;PC104194.00.0;PC403447.00.0;PCHAS_072040","07","44","OG5_127371","0","13","13","1","null","null","1137"
"PCHAS_0720500","PCHAS_0720500.1","P. chabaudi chabaudi","PCHAS_07_v3:751,118..753,145(-)","perforin-like protein 4","Previous IDs: PC000288.05.0;PC301523.00.0;PC301997.00.0;PCHAS_072050","07","44","OG5_167109","0","1","1","1","null","null","2028"
"PCHAS_0720600","PCHAS_0720600.1","P. chabaudi chabaudi","PCHAS_07_v3:753,924..756,782(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000289.05.0;PC000414.01.0;PC300324.00.0;PCHAS_072060","07","44","OG5_167110","0","1","1","1","null","null","2859"
"PCHAS_0720700","PCHAS_0720700.1","P. chabaudi chabaudi","PCHAS_07_v3:757,746..759,791(-)","perforin-like protein 5, putative","Previous IDs: PC000413.01.0;PC001317.02.0;PC300776.00.0;PCHAS_072070","07","44","OG5_167111","0","1","1","1","null","null","2046"
"PCHAS_0720800","PCHAS_0720800.1","P. chabaudi chabaudi","PCHAS_07_v3:760,804..761,834(-)","BRIX domain, putative","Previous IDs: PC000203.05.0;PC000502.01.0;PCHAS_072080","07","43","OG5_127732","0","2","2","1","null","null","879"
"PCHAS_0720900","PCHAS_0720900.1","P. chabaudi chabaudi","PCHAS_07_v3:762,974..767,041(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000185.01.0;PC000202.05.0;PC000501.01.0;PC000637.01.0;PC302371.00.0;PC302406.00.0;PC401976.00.0;PCHAS_072090","07","46","OG5_165261","0","5","5","1","null","null","3606"
"PCHAS_0721000","PCHAS_0721000.1","P. chabaudi chabaudi","PCHAS_07_v3:767,627..769,663(-)","heat shock protein 70, putative","Previous IDs: PC000186.01.0;PC000636.01.0;PC302494.00.0;PCHAS_072100","07","115","OG5_126588","1","1","1","1","null","null","2037"
"PCHAS_0721100","PCHAS_0721100.1","P. chabaudi chabaudi","PCHAS_07_v3:772,229..773,266(+)","U3 small nucleolar ribonucleoprotein protein IMP4, putative","Previous IDs: PC000115.01.0;PC301576.00.0;PCHAS_072110","07","43","OG5_127912","0","1","1","1","null","null","1038"
"PCHAS_0721200","PCHAS_0721200.1","P. chabaudi chabaudi","PCHAS_07_v3:775,327..779,086(+)","DNA helicase, putative","Previous IDs: PC000114.01.0;PC000337.05.0;PC301591.00.0;PC302488.00.0;PCHAS_072120","07","44","OG5_139477","0","5","5","1","null","null","3024"
"PCHAS_0721300","PCHAS_0721300.1","P. chabaudi chabaudi","PCHAS_07_v3:779,628..781,649(+)","BEM46-like protein, putative","Previous IDs: PC000196.01.0;PC105231.00.0;PCHAS_072130","07","46","OG5_128284","0","11","11","1","null","null","864"
"PCHAS_0721400","PCHAS_0721400.1","P. chabaudi chabaudi","PCHAS_07_v3:783,310..784,184(-)","zinc finger protein, putative","Previous IDs: PC000071.04.0;PC000195.01.0;PCHAS_072140","07","44","OG5_127624","0","2","2","1","null","null","690"
"PCHAS_0721500","PCHAS_0721500.1","P. chabaudi chabaudi","PCHAS_07_v3:788,123..788,900(+)","rRNA-processing protein FCF1, putative","Previous IDs: PC000261.05.0;PCHAS_072150","07","43","OG5_127679","0","2","2","1","null","null","582"
"PCHAS_0721600","PCHAS_0721600.1","P. chabaudi chabaudi","PCHAS_07_v3:789,241..791,397(-)","dynactin subunit 6, putative","Previous IDs: PC000171.00.0;PC000317.05.0;PC000435.03.0;PCHAS_072160","07","45","OG5_164209","0","4","4","1","null","null","1608"
"PCHAS_0721700","PCHAS_0721700.1","P. chabaudi chabaudi","PCHAS_07_v3:792,614..794,061(-)","14-3-3 protein, putative","Previous IDs: PC000316.05.0;PC000434.03.0;PC301678.00.0;PCHAS_072170","07","45","OG5_126706","0","4","4","1","null","null","789"
"PCHAS_0721800","PCHAS_0721800.1","P. chabaudi chabaudi","PCHAS_07_v3:796,755..798,713(-)","zinc finger protein, putative","Previous IDs: PC000126.04.0;PC000256.03.0;PC000432.03.0;PCHAS_072180","07","44","OG5_167112","0","2","2","1","null","null","1761"
"PCHAS_0721900","PCHAS_0721900.1","P. chabaudi chabaudi","PCHAS_07_v3:800,319..801,368(-)","U4/U6.U5 small nuclear ribonucleoprotein, putative","Previous IDs: PC000257.03.0;PC000433.03.0;PC001009.02.0;PC302087.00.0;PC403849.00.0;PCHAS_072190","07","39","OG5_129391","0","1","1","1","null","null","1050"
"PCHAS_0722000","PCHAS_0722000.1","P. chabaudi chabaudi","PCHAS_07_v3:805,434..805,730(+)","high mobility group protein B2, putative","Previous IDs: PC000449.02.0;PC001008.02.0;PCHAS_072200","07","78","OG5_126740","1","1","1","1","null","null","297"
"PCHAS_0722100","PCHAS_0722100.1","P. chabaudi chabaudi","PCHAS_07_v3:806,694..806,971(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000450.02.0;PC000939.01.0;PC000940.01.0;PCHAS_072210","07","41","OG5_167113","0","2","2","1","null","null","165"
"PCHAS_0722200","PCHAS_0722200.1","P. chabaudi chabaudi","PCHAS_07_v3:808,517..815,640(+)","rhoptry neck protein 5, putative","Previous IDs: PC000070.02.0;PC000448.02.0;PC000639.01.0;PC100265.00.0;PC103228.00.0;PC301326.00.0;PC402393.00.0;PCHAS_072220","07","45","OG5_153587","0","31","31","1","null","null","3450"
"PCHAS_0722300","PCHAS_0722300.1","P. chabaudi chabaudi","PCHAS_07_v3:817,039..820,074(+)","conserved protein, unknown function","Previous IDs: PC000068.02.0;PC300539.00.0;PC301189.00.0;PCHAS_072230","07","46","OG5_165487","0","2","2","1","null","null","2823"
"PCHAS_0722400","PCHAS_0722400.1","P. chabaudi chabaudi","PCHAS_07_v3:820,404..821,739(-)","histidine triad nucleotide-binding protein 1, putative","Previous IDs: PC000069.02.0;PC000198.04.0;PC000582.04.0;PC000829.00.0;PCHAS_072240","07","44","OG5_126794","0","6","6","1","null","null","558"
"PCHAS_0722500","PCHAS_0722500.1","P. chabaudi chabaudi","PCHAS_07_v3:822,408..824,447(+)","phosphatase, putative","Previous IDs: PC000581.04.0;PC000828.00.0;PC101530.00.0;PC301498.00.0;PC302140.00.0;PCHAS_072250","07","44","OG5_173819","0","2","2","1","null","null","1650"
"PCHAS_0722600","PCHAS_0722600.1","P. chabaudi chabaudi","PCHAS_07_v3:827,582..832,555(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000241.02.0;PC000268.02.0;PC100080.00.0;PC106565.00.0;PC106747.00.0;PC300759.00.0;PC301042.00.0;PC302120.00.0;PCHAS_072260","07","30","OG5_136668","0","1","1","1","null","null","4974"
"PCHAS_0722700","PCHAS_0722700.1","P. chabaudi chabaudi","PCHAS_07_v3:834,586..836,496(+)","conserved protein, unknown function","Previous IDs: PC000000.00.0;PC000041.04.0;PC000240.00.0;PC000267.02.0;PC000381.03.0;PC300564.00.0;PC301258.00.0;PC405767.00.0;PC405814.00.0;PC405971.00.0;PCHAS_072270","07","45","OG5_147454","0","1","1","1","null","null","1911"
"PCHAS_0722800","PCHAS_0722800.1","P. chabaudi chabaudi","PCHAS_07_v3:837,275..839,416(-)","tRNA modification GTPase, putative","Previous IDs: PC000315.00.0;PC000745.02.0;PC000872.02.0;PC100492.00.0;PC300397.00.0;PC300697.00.0;PC300764.00.0;PC300765.00.0;PC301123.00.0;PC301755.00.0;PC302055.00.0;PCHAS_072280","07","44","OG5_127722","0","1","1","1","null","null","2142"
"PCHAS_0722900","PCHAS_0722900.1","P. chabaudi chabaudi","PCHAS_07_v3:839,970..841,193(-)","NEDD8-activating enzyme E1 catalytic subunit, putative","Previous IDs: PC000482.01.0;PC001108.02.0;PCHAS_072290","07","42","OG5_128095","0","1","1","1","null","null","1224"
"PCHAS_0723000","PCHAS_0723000.1","P. chabaudi chabaudi","PCHAS_07_v3:841,906..842,730(-)","adenylate kinase 2, putative","Previous IDs: PC000136.04.0;PC001107.02.0;PC301840.00.0;PCHAS_072300","07","44","OG5_167114","0","1","1","1","null","null","825"
"PCHAS_0723100","PCHAS_0723100.1","P. chabaudi chabaudi","PCHAS_07_v3:844,331..845,863(+)","meiotic recombination protein DMC1, putative","Previous IDs: PC000175.02.0;PC000403.01.0;PC000512.02.0;PC302574.00.0;PCHAS_072310","07","87","OG5_126834","1","6","6","1","null","null","1041"
"PCHAS_0723200","PCHAS_0723200.1","P. chabaudi chabaudi","PCHAS_07_v3:845,938..846,702(-)","trafficking protein particle complex subunit 2-like protein, putative","Previous IDs: PC000141.05.0;PC000225.04.0;PC000513.02.0;PCHAS_072320","07","41","OG5_129611","0","4","4","1","null","null","432"
"PCHAS_0723300","PCHAS_0723300.1","P. chabaudi chabaudi","PCHAS_07_v3:847,730..850,864(+)","chaperone protein ClpB1, putative","Previous IDs: PC000511.02.0;PC000783.03.0;PC300656.00.0;PC300948.00.0;PC302456.00.0;PCHAS_072330","07","89","OG5_126636","1","1","1","1","null","null","3135"
"PCHAS_0723400","PCHAS_0723400.1","P. chabaudi chabaudi","PCHAS_07_v3:851,751..852,465(-)","small heat shock protein HSP20, putative","Previous IDs: PC000514.02.0;PC000572.02.0;PC000782.03.0;PCHAS_072340","07","45","OG5_144441","0","3","3","1","null","null","516"
"PCHAS_0723500","PCHAS_0723500.1","P. chabaudi chabaudi","PCHAS_07_v3:853,881..854,978(-)","EF-hand calcium-binding domain-containing protein, putative","Previous IDs: PC000571.02.0;PCHAS_072350","07","44","OG5_158067","0","3","3","1","null","null","738"
"PCHAS_0723600","PCHAS_0723600.1","P. chabaudi chabaudi","PCHAS_07_v3:856,420..860,154(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000031.03.0;PC000617.01.0;PC000782.04.0;PC107631.00.0;PC301050.00.0;PC301744.00.0;PC301750.00.0;PC302349.00.0;PC403989.00.0;PCHAS_072360","07","46","OG5_166863","0","10","10","1","null","null","2550"
"PCHAS_0723700","PCHAS_0723700.1","P. chabaudi chabaudi","PCHAS_07_v3:861,575..862,204(+)","vacuolar protein sorting-associated protein 2, putative","Previous IDs: PC000025.01.0;PC000029.03.0;PCHAS_072370","07","44","OG5_128111","0","1","1","1","null","null","630"
"PCHAS_0723800","PCHAS_0723800.1","P. chabaudi chabaudi","PCHAS_07_v3:862,832..863,738(-)","phosphopantothenoylcysteine decarboxylase, putative","Previous IDs: PC000030.03.0;PC101645.00.0;PC400298.00.0;PCHAS_072380","07","44","OG5_127040","0","4","4","1","null","null","555"
"PCHAS_0723900","PCHAS_0723900.1","P. chabaudi chabaudi","PCHAS_07_v3:864,422..865,747(+)","ribosome assembly protein RRB1, putative","Previous IDs: PC000594.01.0;PC000602.03.0;PC300381.00.0;PCHAS_072390","07","44","OG5_128348","0","1","1","1","null","null","1326"
"PCHAS_0724000","PCHAS_0724000.1","P. chabaudi chabaudi","PCHAS_07_v3:866,130..868,160(-)","dihydrolipoyl dehydrogenase, apicoplast, putative","Previous IDs: PC000593.01.0;PCAS_072400;PCHAS_072400","07","44","OG5_135307","0","1","1","1","null","null","2031"
"PCHAS_0724100","PCHAS_0724100.1","P. chabaudi chabaudi","PCHAS_07_v3:870,054..874,274(+)","vacuolar protein sorting-associated protein 9, putative","Previous IDs: PC000564.01.0;PC102540.00.0;PC106296.00.0;PCAS_072410;PCHAS_072410","07","45","OG5_128538","0","1","1","1","null","null","4221"
"PCHAS_0724200","PCHAS_0724200.1","P. chabaudi chabaudi","PCHAS_07_v3:875,409..876,611(+)","ubiquitin, putative","Previous IDs: PC000870.03.0;PC300085.00.0;PCAS_072420;PCHAS_072420","07","43","OG5_165569","0","2","2","1","null","null","1110"
"PCHAS_0724300","PCHAS_0724300.1","P. chabaudi chabaudi","PCHAS_07_v3:877,597..879,655(+)","eukaryotic translation initiation factor 3 subunit G, putative","Previous IDs: PC000868.03.0;PCAS_072430;PCHAS_072430","07","43","OG5_128530","0","10","10","1","null","null","810"
"PCHAS_0724400","PCHAS_0724400.1","P. chabaudi chabaudi","PCHAS_07_v3:879,731..881,675(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000317.02.0;PC000869.03.0;PC300120.00.0;PCAS_072440;PCHAS_072440","07","43","OG5_167115","0","5","5","1","null","null","1467"
"PCHAS_0724500","PCHAS_0724500.1","P. chabaudi chabaudi","PCHAS_07_v3:882,498..883,081(+)","ATP synthase-associated protein, putative","Previous IDs: PC000318.02.0;PCAS_072450;PCHAS_072450","07","43","OG5_150525","0","2","2","1","null","null","486"
"PCHAS_0724600","PCHAS_0724600.1","P. chabaudi chabaudi","PCHAS_07_v3:884,521..885,417(+)","phosphoglucomutase-2, putative","Previous IDs: PC302616.00.0;PCAS_072460;PCHAS_072460","07","43","OG5_130592","0","1","1","1","null","null","897"
"PCHAS_0724700","PCHAS_0724700.1","P. chabaudi chabaudi","PCHAS_07_v3:886,027..887,539(-)","26S protease regulatory subunit 6B, putative","Previous IDs: PC000573.00.0;PC302617.00.0;PCAS_072470;PCHAS_072470","07","42","OG5_127831","0","2","2","1","null","null","1188"
"PCHAS_0724800","PCHAS_0724800.1","P. chabaudi chabaudi","PCHAS_07_v3:888,827..889,864(-)","lysine decarboxylase-like protein, putative","Previous IDs: PC000572.00.0;PCAS_072480;PCHAS_072480","07","41","OG5_131273","0","1","1","1","null","null","1038"
"PCHAS_0724900","PCHAS_0724900.1","P. chabaudi chabaudi","PCHAS_07_v3:890,979..891,812(+)","50S ribosomal protein L10, putative","Previous IDs: PCHAS_072490","07","42","OG5_153362","0","1","1","1","null","null","834"
"PCHAS_0725000","PCHAS_0725000.1","P. chabaudi chabaudi","PCHAS_07_v3:892,159..895,077(-)","ubiquitin carboxyl-terminal hydrolase 13, putative","Previous IDs: PC300010.00.0;PCAS_072500;PCHAS_072500","07","42","OG5_127550","0","4","4","1","null","null","2571"
"PCHAS_0725100","PCHAS_0725100.1","P. chabaudi chabaudi","PCHAS_07_v3:895,583..901,468(-)","structural maintenance of chromosomes protein 3, putative","Previous IDs: PC000257.05.0;PC000584.00.0;PC000747.00.0;PC301538.00.0;PC301731.00.0;PC302602.00.0;PCAS_072510;PCHAS_072510","07","44","OG5_127789","0","21","21","1","null","null","3585"
"PCHAS_0725200","PCHAS_0725200.1","P. chabaudi chabaudi","PCHAS_07_v3:902,372..907,082(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC300417.00.0;PC301405.00.0;PC301863.00.0;PCAS_072520;PCHAS_072520","07","45","OG5_163882","0","4","4","1","null","null","4332"
